slug,current_source,confidence,suggested_source,rationale
vishnu-dwadash-nama,Padma Purana / Vishnu Purana,high,Padma Purana / Vishnu Purana,OK
vishnu-gayatri,Rig Veda / Vishnu Purana,high,Rig Veda / Vishnu Purana,OK
vishnu-hridayam,Narada Purana,medium,Narada Purana,
vishnu-kavacham,Vishnu Purana,high,Vishnu Purana,OK
vishnu-mangala-stotram,Vishnu Purana,high,Vishnu Purana,OK
vishnu-mangalashtakam,Vishnu Purana,high,Vishnu Purana,OK
vishnu-padadikeshanta-stotram,Vaishnavite Traditional Literature,medium,Vaishnavite Traditional Literature,
vishnu-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
vishnu-panjara-stotram,Narada Purana,medium,Narada Purana,
vishnu-sahasranama-dhyanam,Mahabharata,high,Mahabharata,OK
vishnu-sahasranama-phala-shruti,Mahabharata (Anushasana Parva),high,Mahabharata (Anushasana Parva),OK
vishnu-sahasranama,Mahabharata - Anushasana Parva,high,Mahabharata - Anushasana Parva,OK
vishnu-shodasha-nama,Brahmanda Purana,medium,Brahmanda Purana,
vishnu-shodashopachara-puja,Vaishnavite Agama Tradition,medium,Vaishnavite Agama Tradition,
vishnu-stotram,Vishnu Purana and Bhagavad Gita (Compilation),high,Vishnu Purana and Bhagavad Gita (Compilation),OK
vishnu-stuti,Shrimad Bhagavata Purana / Bhagavad Gita,high,Shrimad Bhagavata Purana / Bhagavad Gita,OK for Vaishnava stotras from SB
vishnu-suktam,"Rigveda (Mandala 1, Sukta 154)",high,"Rigveda (Mandala 1, Sukta 154)",OK Vedic
vishwakarma-aarti,Traditional Vishwakarma Bhakti Literature,medium,Traditional Vishwakarma Bhakti Literature,
vishwakarma-chalisa,Traditional Vishwakarma Bhakti Literature,medium,Traditional Vishwakarma Bhakti Literature,
vishwanatha-ashtakam,Adi Shankaracharya (attributed),high,Adi Shankaracharya (attributed),OK for Shankara compositions
vitthal-aarti,"Pandharpur Varkari Tradition (Jnanadeva, Tukaram, Namadeva)",medium,"Pandharpur Varkari Tradition (Jnanadeva, Tukaram, Namadeva)",
vitthal-ashtakam,Varkari Tradition,medium,Varkari Tradition,
vitthal-chalisa,Varkari Bhakti Tradition (Maharashtra),medium,Varkari Bhakti Tradition (Maharashtra),
vitthal-kavacham,Padma Purana / Varkari Tradition,high,Padma Purana / Varkari Tradition,OK
vitthal-sahasranama,Padma Purana / Varkari Tradition,high,Padma Purana / Varkari Tradition,OK
vitthal-stotram,Varkari Sant Paramapara,medium,Varkari Sant Paramapara,
vivaha-mantras,"Rig Veda, Grihya Sutras (Ashvalayana / Paraskara)",medium,"Rig Veda, Grihya Sutras (Ashvalayana / Paraskara)",
vivaha-panchami-stotram,Ramayana Tradition / Puranic Compilation,medium,Ramayana Tradition / Puranic Compilation,
vivaha-prapti-stotram,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
vivekachudamani-key-verses,Vivekachudamani — Adi Shankaracharya,high,Vivekachudamani — Adi Shankaracharya,OK for Shankara compositions
vrindavan-stuti,Gaudiya Vaishnava Tradition,medium,Gaudiya Vaishnava Tradition,
yamuna-stotram,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
yamunashtak,Shri Vallabhacharya (Pushti Marga),medium,Shri Vallabhacharya (Pushti Marga),
yoga-vasishtha-key-verses,Yoga Vasishtha,medium,Yoga Vasishtha,
